5|Child|32: 573 130 55 23 10 4 1 
8|Child|16: 573 130 55 27 10 4 1 
5552|Child|17: 968 655 137 45 21 10 4 1 
5562|Child|48|Mutated: 912 605 137 45 21 10 4 1 
5565|Child|23|Mutated: 952 604 137 45 21 10 4 1 
5576|Survivor|7|Mutated: 952 655 137 45 21 10 4 1 
5600|Child|32|Mutated: 952 672 137 45 21 10 4 1 
5651|Child|23|Mutated: 952 558 137 45 21 10 4 1 
5653|Child|28|Mutated: 952 699 137 45 21 10 4 1 
5678|Survivor|10|Mutated: 906 605 137 45 21 10 4 1 
5693|Child|48|Mutated: 952 714 137 45 21 10 4 1 
5702|Child|3|Mutated: 952 605 116 45 21 10 4 1 
5710|Child|10|Mutated: 952 625 137 45 21 10 4 1 
5715|Child|23|Mutated: 938 605 137 45 21 10 4 1 
5739|Child|1|Mutated: 952 645 137 45 21 10 4 1 
5743|Child|44|Mutated: 892 605 137 45 21 10 4 1 
5763|Child|21|Mutated: 952 615 137 45 21 10 4 1 
5773|Survivor|7|Mutated: 952 605 164 45 21 10 4 1 
5774|Child|28|Mutated|Validated: 962 605 137 45 21 10 4 1 
5792|Child|8|Mutated: 899 605 137 45 21 10 4 1 
5798|Child|45|Mutated: 952 673 137 45 21 10 4 1 
5799|Child|29|Mutated: 952 605 154 45 21 10 4 1 
5812|Child|35|Mutated: 904 605 137 45 21 10 4 1 
5813|Child|1|Mutated: 906 605 143 45 21 10 4 1 
5827|Child|35|Mutated: 890 601 137 45 21 10 4 1 
5843|Child|16|Mutated: 952 564 137 45 21 10 4 1 
5857|Child|31|Mutated: 952 692 152 45 21 10 4 1 
5876|Child|29|Mutated: 952 605 137 48 21 10 4 1 
5898|Child|11|Mutated: 907 605 137 45 21 10 4 1 
5901|Survivor|8|Mutated|Validated: 985 605 137 45 21 10 4 1 
5906|Child|42|Mutated: 981 605 137 45 21 10 4 1 
